"number","name","earnings","gold","silver","bronze","s-tier"
429,"Shlatan","$34,723",6,5,0,0
430,"Orome","$34,675",3,2,2,0
431,"Helios","$34,482",3,3,0,1
432,"HotshotGG","$34,380",3,3,3,0
433,"Shanks","$34,335",1,2,2,0
434,"TitaN","$34,281",7,0,1,1
435,"Sertuss","$34,263",4,3,2,0
436,"Yang","$33,740",6,5,0,2
437,"Karis","$33,632",3,1,1,0
438,"Noway","$33,625",3,4,3,0
439,"Nite","$33,573",4,2,4,0
440,"Cinkrof","$33,561",5,5,2,0
441,"K","$33,402",0,2,3,0
442,"GBM","$33,400",3,2,0,1
443,"Tore","$33,309",2,2,0,0
444,"Tonerre","$33,233",10,4,6,0
445,"Lilv","$33,067",1,2,4,1
446,"Zefa","$33,047",0,2,0,0
447,"Tabasko","$32,922",6,2,4,0
448,"bluerzor","$32,885",10,6,5,0
449,"Frozen","$32,881",2,2,0,1
450,"ShiauC","$32,806",2,0,1,2
451,"Send0o","$32,775",8,11,2,1
452,"Breeze","$32,502",0,2,3,0
453,"Czekolad","$32,432",4,1,1,0
454,"Jockster","$32,371",4,3,0,1
455,"Crownshot","$32,311",8,6,1,0
456,"Conan","$32,267",2,0,1,0
457,"Kitties","$32,250",0,2,2,0
458,"Chauster","$31,980",2,3,3,0
459,"NaeHyun","$31,976",2,2,1,2
460,"Asza","$31,971",7,3,2,0
461,"Gemini","$31,939",1,2,2,0
462,"Lucas","$31,774",2,0,1,0
463,"Xiyang","$31,577",1,1,2,1
464,"Keith","$31,400",1,4,1,0
465,"Jay","$31,375",1,2,2,0
466,"Phones","$31,320",1,5,5,0
467,"Keduii","$31,213",4,6,2,0
468,"Rest","$31,099",1,1,4,1
469,"Vsta","$30,965",0,1,2,0
470,"YiJin","$30,872",3,2,3,0
471,"Kami","$30,814",3,4,4,0
472,"Atlen","$30,730",3,0,1,2
473,"Bo","$30,670",0,1,0,0
474,"NikSar","$30,622",1,0,0,0
475,"ZaZee","$30,461",5,2,0,0
476,"Kreox","$30,384",1,3,1,0
477,"Warangelus","$30,360",2,5,1,0
478,"Djoko","$30,280",9,4,0,0
479,"Robo","$30,232",6,3,1,1
480,"Tank","$30,151",0,3,2,0
481,"Key","$30,095",2,0,0,0
482,"IWillDominate","$30,000",0,4,4,0
483,"Blasting","$29,902",3,1,0,0
484,"Pretty","$29,860",9,2,1,0
485,"MagiFelix","$29,654",13,5,1,1
486,"Kiaya","$29,640",2,3,1,0
487,"SolidSnake","$29,425",5,1,2,0
488,"SirT","$29,175",3,4,3,0
489,"Ronop","$29,166",4,1,2,0
490,"Innaxe","$29,086",4,7,0,0
491,"Don Arts","$28,990",4,2,1,0
492,"Finn","$28,967",1,2,3,0
493,"Crazy","$28,861",3,0,0,0
494,"Kellin","$28,728",0,2,2,0
495,"V1per","$28,600",4,1,0,0
496,"Comp","$28,451",8,3,1,0
497,"Adrian","$28,400",1,3,5,0
498,"Profit","$28,366",2,0,0,1
499,"Mole","$28,327",0,1,2,0
500,"Voidle","$28,052",2,2,2,0
501,"Exile","$28,005",2,7,2,0
502,"Moyu","$27,863",0,2,1,0
503,"Hana","$27,840",1,0,2,1
504,"Aiming","$27,810",0,2,1,0
505,"Rush","$27,796",1,0,2,1
506,"Homme","$27,787",1,1,1,1
507,"Space","$27,760",0,2,2,0
508,"Nate","$27,678",6,6,0,0
509,"Moopz","$27,592",8,6,4,0
510,"Chei","$27,573",0,2,0,0
511,"Dan Dan","$27,546",6,6,1,0
512,"Mylon","$27,408",4,2,2,0
513,"RedBert","$27,343",4,2,1,0
514,"Bigfatlp","$27,280",2,3,1,0
515,"ADD","$27,273",1,2,0,0
516,"Ranger","$27,116",3,1,1,1
517,"Nukes","$27,027",4,4,1,0
518,"Candy","$27,000",3,1,0,0
519,"NoWay","$26,998",6,3,1,0
520,"Forge","$26,844",2,0,0,0
521,"Duan","$26,690",1,0,0,0
522,"Dioud","$26,588",3,1,3,0
523,"Sya","$26,581",2,2,1,0
524,"Toaster","$26,551",6,7,3,0
525,"Lurox","$26,125",3,3,4,0
526,"HustlinbeasT","$25,901",5,5,7,0
527,"Raxxo","$25,900",2,8,2,0
528,"Elk","$25,846",0,2,2,0
529,"beishang","$25,846",0,3,2,0
530,"Missing","$25,846",1,2,2,0
531,"SSol","$25,807",1,4,1,0
532,"Ellim","$25,759",3,1,0,1
533,"Kuzan","$25,732",1,1,0,0
534,"Vasilii","$25,491",0,0,1,0
535,"Chippys","$25,442",4,3,5,0
536,"dyNquedo","$25,398",3,0,3,1
537,"Nevan","$25,203",2,1,0,0
538,"cvMax","$25,177",1,1,0,1
539,"scarra","$25,100",1,3,5,0
540,"Imaqtpie","$25,100",1,3,5,0
541,"Paz","$25,031",4,5,3,1
542,"Blanc","$24,824",1,0,0,1
543,"Shadow","$24,770",1,1,1,0
544,"Sangyoon","$24,759",1,1,1,0
545,"Move","$24,700",3,1,0,1
546,"TinOwns","$24,678",7,4,0,0
547,"Zantins","$24,486",4,0,0,1
547,"CandyPanda","$24,480",0,2,2,0
549,"Shook","$24,450",1,0,0,1
550,"Sleeping","$24,293",5,5,0,0
551,"Pilot","$24,274",1,1,1,0
552,"WhiteKnight","$23,949",4,1,0,0
553,"Benny","$23,924",0,1,2,0
554,"Deádly","$23,916",4,6,1,0
555,"Kingen","$23,910",1,0,0,1
556,"SMILEY","$23,886",3,6,4,0
557,"Destiny","$23,836",5,3,1,1
558,"Sky","$23,792",1,0,1,1
559,"Damonte","$23,763",1,2,2,0
560,"SoHwan","$23,667",0,1,0,0
561,"Babip","$23,554",5,2,0,1
562,"Thaldrin","$23,477",5,0,0,1
563,"NoNHoly","$23,470",0,6,1,0
564,"XiaoXiao","$23,457",0,1,1,0
565,"Newbie","$23,360",1,6,4,0
566,"Zhuo","$23,353",3,0,0,0
567,"Y1han","$23,228",0,1,0,0
568,"Skeanz","$23,148",5,6,4,0
569,"Riyev","$23,121",4,0,0,1
570,"Dreams","$23,006",3,3,0,0
571,"Paranoia","$22,995",1,3,1,0
572,"Hiiva","$22,819",2,4,0,0
573,"Jeskla","$22,754",3,4,0,0
574,"Gori","$22,679",2,1,1,1
575,"Padden","$22,577",2,0,0,1
576,"LirA","$22,479",1,0,0,0
577,"Untara","$22,284",0,1,0,0
578,"poome","$22,220",4,1,3,0
579,"Winds","$22,200",0,1,0,0
580,"Archer","$22,190",1,0,1,0
581,"Vetheo","$22,174",2,2,1,0
582,"Punch","$22,154",1,3,1,0
583,"Ryoma","$22,080",3,4,5,1
584,"Agurin","$22,077",6,2,1,0
585,"Puki Style","$22,057",2,8,4,0
586,"Emperor","$22,044",1,1,1,1
587,"Goldenglue","$22,000",1,2,1,0
588,"Kazu","$21,989",3,1,0,0
589,"COLD","$21,923",1,0,1,1
590,"Fenix","$21,890",1,2,3,0
590,"Yuuki60","$21,813",4,4,4,0
590,"Werlyb","$21,754",7,1,0,0
593,"Venus","$21,739",0,4,1,0
594,"Max","$21,734",0,1,1,0
595,"Maxi","$21,641",2,7,0,0
596,"VincentVega","$21,616",0,4,0,0
597,"EasyLove","$21,547",1,4,0,0
598,"Jestkui Max","$21,495",0,4,0,0
599,"Empt2y","$21,491",1,1,0,0
600,"Raina","$21,490",1,2,1,0
600,"Ace","$21,490",2,2,1,0
600,"Chaser","$21,447",0,1,0,0
603,"ocelote","$21,422",0,1,5,0
604,"Kirei","$21,357",2,3,3,0
605,"kev1n","$21,270",1,0,0,0
606,"Xiaobai","$21,200",1,1,0,1
607,"Warzone","$21,151",1,0,2,0
608,"Satorius","$21,130",1,2,2,0
609,"Naru","$20,993",4,1,1,1
610,"Slayder","$20,973",2,1,3,0
611,"Tally","$20,826",4,2,3,0
612,"Minerva","$20,795",4,5,1,0
613,"Triple","$20,684",5,2,0,1
614,"Bean","$20,625",1,3,1,0
615,"Matislaw","$20,611",3,7,1,0
616,"DiscotEkka","$20,549",0,4,0,0
617,"Willer","$20,536",1,1,0,0
618,"ikssu","$20,314",0,0,2,0
619,"Exosen","$20,298",5,5,1,0
620,"POP","$20,258",5,0,0,0
621,"Breathe","$20,182",0,2,2,0
622,"ON","$20,128",1,0,1,0
623,"Wendelbo","$20,055",5,4,0,0
624,"fredy122","$20,000",0,1,1,0
625,"Veritas","$19,902",2,3,0,0
626,"Ale","$19,859",0,1,0,0
627,"Iwandy","$19,859",0,2,0,0
628,"Light","$19,859",0,1,0,0
629,"Tay","$19,808",3,2,0,0
630,"Saintvicious","$19,730",3,2,3,0
631,"Jisu","$19,634",3,3,1,0
632,"Phrenic","$19,427",3,6,1,0
633,"Jirall","$19,401",4,1,3,0
634,"Beyond","$19,352",0,2,0,0
635,"Dia1","$19,323",0,3,1,0
636,"BioPanther","$19,274",4,1,0,1
637,"Szygenda","$19,179",4,3,1,0
638,"Reeker","$19,158",3,0,0,0
639,"Taxer","$19,142",9,12,3,0
640,"Wako","$19,122",0,1,2,0
641,"Samux","$19,115",0,2,1,0
642,"Cupcake","$19,052",4,2,5,1
643,"Acce","$18,974",1,3,2,0
644,"Youngjae","$18,926",1,0,3,0
645,"Jenax","$18,816",1,5,2,0
646,"Tom","$18,785",1,0,0,1
647,"Ackerman","$18,740",4,0,0,0
648,"Pride","$18,708",4,3,0,0
649,"Shadow","$18,695",1,3,1,0
650,"Lekcyc","$18,690",0,4,2,0
651,"Th3Antonio","$18,624",6,3,0,0
652,"Phaxi","$18,605",4,5,2,0
653,"Sacre","$18,566",5,4,1,0
654,"TrAce","$18,462",0,1,0,0
655,"Doggo","$18,388",0,2,0,0
656,"Hang","$18,383",1,1,0,0
657,"Cube","$18,383",1,1,0,0
658,"Mickey","$18,343",1,0,2,0
